"CIDADE","UF"
"GUAXUPE","MINAS GERAIS"
"GUIA LOPES DA LAGUNA","MATO GROSSO DO SUL"
"GUIDOVAL","MINAS GERAIS"
"GUIMARAES","MARANHAO"
"GUIMARANIA","MINAS GERAIS"
"GUIRATINGA","MATO GROSSO"
"GUIRICEMA","MINAS GERAIS"
"GURINHATA","MINAS GERAIS"
"GURINHEM","PARAIBA"
"GURJAO","PARAIBA"
"GURUPA","PARA"
"GURUPI","TOCANTINS"
"GUZOLANDIA","SAO PAULO"
"HARMONIA","RIO GRANDE DO SUL"
"HEITORAI","GOIAS"
"HELIODORA","MINAS GERAIS"
"HELIOPOLIS","BAHIA"
"HERCULANDIA","SAO PAULO"
"HERVAL D""OESTE","SANTA CATARINA"
"HERVAL","RIO GRANDE DO SUL"
"HERVEIRAS","RIO GRANDE DO SUL"
"HIDROLANDIA","CEARA"
"HIDROLANDIA","GOIAS"
"HIDROLINA","GOIAS"
"HOLAMBRA","SAO PAULO"
"HONORIO SERPA","PARANA"
"HORIZONTE","CEARA"
"HORIZONTINA","RIO GRANDE DO SUL"
"HORTOLANDIA","SAO PAULO"
"HUGO NAPOLEAO","PIAUI"
"HULHA NEGRA","RIO GRANDE DO SUL"
"HUMAITA","AMAZONAS"
"HUMAITA","RIO GRANDE DO SUL"
"HUMBERTO DE CAMPOS","MARANHAO"
"IACANGA","SAO PAULO"
"IACIARA","GOIAS"
"IACRI","SAO PAULO"
"IACU","BAHIA"
"IAPU","MINAS GERAIS"
"IARAS","SAO PAULO"
"IATI","PERNAMBUCO"
"IBAITI","PARANA"
"IBARAMA","RIO GRANDE DO SUL"
"IBARETAMA","CEARA"
"IBATEGUARA","ALAGOAS"
"IBATE","SAO PAULO"
"IBATIBA","ESPIRITO SANTO"
"IBEMA","PARANA"
"IBERTIOGA","MINAS GERAIS"
"IBIACA","RIO GRANDE DO SUL"
"IBIAI","MINAS GERAIS"
"IBIAM","SANTA CATARINA"
"IBIAPINA","CEARA"
"IBIARA","PARAIBA"
"IBIA","MINAS GERAIS"
"IBIASSUCE","BAHIA"
"IBICARAI","BAHIA"
"IBICARE","SANTA CATARINA"
"IBICOARA","BAHIA"
"IBICUI","BAHIA"
"IBICUITINGA","CEARA"
"IBIMIRIM","PERNAMBUCO"
"IBIPEBA","BAHIA"
"IBIPITANGA","BAHIA"
"IBIPORA","PARANA"
"IBIQUERA","BAHIA"
"IBIRACATU","MINAS GERAIS"
"IBIRACI","MINAS GERAIS"
"IBIRACU","ESPIRITO SANTO"
"IBIRAIARAS","RIO GRANDE DO SUL"
"IBIRAJUBA","PERNAMBUCO"
"IBIRAMA","SANTA CATARINA"
"IBIRAPITANGA","BAHIA"
"IBIRAPUA","BAHIA"
"IBIRAPUITA","RIO GRANDE DO SUL"
"IBIRAREMA","SAO PAULO"
"IBIRA","SAO PAULO"
"IBIRATAIA","BAHIA"
"IBIRITE","MINAS GERAIS"
"IBIRUBA","RIO GRANDE DO SUL"
"IBITIARA","BAHIA"
"IBITINGA","SAO PAULO"
"IBITIRAMA","ESPIRITO SANTO"
"IBITITA","BAHIA"
"IBITIURA DE MINAS","MINAS GERAIS"
"IBITURUNA","MINAS GERAIS"
"IBIUNA","SAO PAULO"
"IBOTIRAMA","BAHIA"
"ICAPUI","CEARA"
"ICARAI DE MINAS","MINAS GERAIS"
"ICARAIMA","PARANA"
"ICARA","SANTA CATARINA"
"ICATU","MARANHAO"
"ICEM","SAO PAULO"
"ICHU","BAHIA"
"ICONHA","ESPIRITO SANTO"
"ICO","CEARA"
"IELMO MARINHO","RIO GRANDE DO NORTE"
"IEPE","SAO PAULO"
"IGACI","ALAGOAS"
"IGAPORA","BAHIA"
"IGARACU DO TIETE","SAO PAULO"
"IGARACY","PARAIBA"
"IGARAPAVA","SAO PAULO"
"IGARAPE-ACU","PARA"
"IGARAPE DO MEIO","MARANHAO"
"IGARAPE GRANDE","MARANHAO"
"IGARAPE-MIRI","PARA"
"IGARAPE","MINAS GERAIS"
"IGARASSU","PERNAMBUCO"
"IGARATA","SAO PAULO"
"IGARATINGA","MINAS GERAIS"
"IGRAPIUNA","BAHIA"
"IGREJA NOVA","ALAGOAS"
"IGREJINHA","RIO GRANDE DO SUL"
"IGUABA GRANDE","RIO DE JANEIRO"
"IGUAI","BAHIA"
"IGUAPE","SAO PAULO"
"IGUARACI","PERNAMBUCO"
"IGUARACU","PARANA"
"IGUATAMA","MINAS GERAIS"
"IGUATEMI","MATO GROSSO DO SUL"
"IGUATU","CEARA"
"IGUATU","PARANA"
"IJACI","MINAS GERAIS"
"IJUI","RIO GRANDE DO SUL"
"ILHABELA","SAO PAULO"
"ILHA COMPRIDA","SAO PAULO"
"ILHA DAS FLORES","SERGIPE"
"ILHA DE ITAMARACA","PERNAMBUCO"
"ILHA GRANDE","PIAUI"
"ILHA SOLTEIRA","SAO PAULO"
"ILHEUS","BAHIA"
"ILHOTA","SANTA CATARINA"
"ILICINEA","MINAS GERAIS"
"ILOPOLIS","RIO GRANDE DO SUL"
"IMACULADA","PARAIBA"
"IMARUI","SANTA CATARINA"
"IMBAU","PARANA"
"IMBE DE MINAS","MINAS GERAIS"
"IMBE","RIO GRANDE DO SUL"
"IMBITUBA","SANTA CATARINA"
"IMBITUVA","PARANA"
"IMBUIA","SANTA CATARINA"
"IMIGRANTE","RIO GRANDE DO SUL"
"IMPERATRIZ","MARANHAO"
"INACIOLANDIA","GOIAS"
"INACIO MARTINS","PARANA"
"INAJA","PARANA"
"INAJA","PERNAMBUCO"
"INCONFIDENTES","MINAS GERAIS"
"INDAIABIRA","MINAS GERAIS"
"INDAIAL","SANTA CATARINA"
"INDAIATUBA","SAO PAULO"
"INDEPENDENCIA","CEARA"
"INDEPENDENCIA","RIO GRANDE DO SUL"
"INDIANA","SAO PAULO"
"INDIANOPOLIS","MINAS GERAIS"
"INDIANOPOLIS","PARANA"
"INDIAPORA","SAO PAULO"
"INDIARA","GOIAS"
"INDIAROBA","SERGIPE"
"INDIAVAI","MATO GROSSO"
"INGAI","MINAS GERAIS"
"INGA","PARAIBA"
"INGAZEIRA","PERNAMBUCO"
"INHACORA","RIO GRANDE DO SUL"
"INHAMBUPE","BAHIA"
"INHANGAPI","PARA"
"INHAPIM","MINAS GERAIS"
"INHAPI","ALAGOAS"
"INHAUMA","MINAS GERAIS"
"INHUMA","PIAUI"
"INHUMAS","GOIAS"
"INIMUTABA","MINAS GERAIS"
"INOCENCIA","MATO GROSSO DO SUL"
"INUBIA PAULISTA","SAO PAULO"
"IOMERE","SANTA CATARINA"
"IPABA","MINAS GERAIS"
"IPAMERI","GOIAS"
"IPANEMA","MINAS GERAIS"
"IPANGUACU","RIO GRANDE DO NORTE"
"IPAPORANGA","CEARA"
"IPATINGA","MINAS GERAIS"
"IPAUMIRIM","CEARA"
"IPAUSSU","SAO PAULO"
"IPECAETA","BAHIA"
"IPERO","SAO PAULO"
"IPE","RIO GRANDE DO SUL"
"IPEUNA","SAO PAULO"
"IPIACU","MINAS GERAIS"
"IPIAU","BAHIA"
"IPIGUA","SAO PAULO"
"IPIRANGA DE GOIAS","GOIAS"
"IPIRANGA DO NORTE","MATO GROSSO"
"IPIRANGA DO PIAUI","PIAUI"
"IPIRANGA DO SUL","RIO GRANDE DO SUL"
"IPIRANGA","PARANA"
"IPIRA","BAHIA"
"IPIRA","SANTA CATARINA"
"IPIXUNA DO PARA","PARA"
"IPIXUNA","AMAZONAS"
"IPOJUCA","PERNAMBUCO"
"IPORA DO OESTE","SANTA CATARINA"
"IPORANGA","SAO PAULO"
"IPORA","GOIAS"
"IPORA","PARANA"
"IPUACU","SANTA CATARINA"
"IPUA","SAO PAULO"
"IPUBI","PERNAMBUCO"
"IPUEIRA","RIO GRANDE DO NORTE"
"IPUEIRAS","CEARA"
"IPUEIRAS","TOCANTINS"
"IPUIUNA","MINAS GERAIS"
"IPUMIRIM","SANTA CATARINA"
"IPUPIARA","BAHIA"
"IPU","CEARA"
"IRACEMA DO OESTE","PARANA"
"IRACEMAPOLIS","SAO PAULO"
"IRACEMA","CEARA"
"IRACEMA","RORAIMA"
"IRACEMINHA","SANTA CATARINA"
"IRAI DE MINAS","MINAS GERAIS"
"IRAI","RIO GRANDE DO SUL"
"IRAJUBA","BAHIA"
"IRAMAIA","BAHIA"
"IRANDUBA","AMAZONAS"
"IRANI","SANTA CATARINA"
"IRAPUA","SAO PAULO"
"IRAPURU","SAO PAULO"
"IRAQUARA","BAHIA"
"IRARA","BAHIA"
"IRATI","PARANA"
"IRATI","SANTA CATARINA"
"IRAUCUBA","CEARA"
"IRECE","BAHIA"
"IRETAMA","PARANA"
"IRINEOPOLIS","SANTA CATARINA"
"IRITUIA","PARA"
"IRUPI","ESPIRITO SANTO"
"ISAIAS COELHO","PIAUI"
"ISRAELANDIA","GOIAS"
"ITAARA","RIO GRANDE DO SUL"
"ITABAIANA","PARAIBA"
"ITABAIANA","SERGIPE"
"ITABAIANINHA","SERGIPE"
"ITABELA","BAHIA"
"ITABERABA","BAHIA"
"ITABERAI","GOIAS"
"ITABERA","SAO PAULO"
"ITABIRA","MINAS GERAIS"
"ITABIRINHA","MINAS GERAIS"
"ITABIRITO","MINAS GERAIS"
"ITABI","SERGIPE"
"ITABORAI","RIO DE JANEIRO"
"ITABUNA","BAHIA"
"ITACAJA","TOCANTINS"
"ITACAMBIRA","MINAS GERAIS"
"ITACARAMBI","MINAS GERAIS"
"ITACARE","BAHIA"
"ITACOATIARA","AMAZONAS"
"ITACURUBA","PERNAMBUCO"
"ITACURUBI","RIO GRANDE DO SUL"
"ITAETE","BAHIA"
"ITAGIBA","BAHIA"
"ITAGIMIRIM","BAHIA"
"ITAGI","BAHIA"
"ITAGUACU DA BAHIA","BAHIA"
"ITAGUACU","ESPIRITO SANTO"
"ITAGUAI","RIO DE JANEIRO"
"ITAGUAJE","PARANA"
"ITAGUARA","MINAS GERAIS"
"ITAGUARI","GOIAS"
"ITAGUARU","GOIAS"
"ITAGUATINS","TOCANTINS"
"ITAIBA","PERNAMBUCO"
"ITAICABA","CEARA"
"ITAINOPOLIS","PIAUI"
"ITAIOPOLIS","SANTA CATARINA"
"ITAIPAVA DO GRAJAU","MARANHAO"
"ITAIPE","MINAS GERAIS"
"ITAIPULANDIA","PARANA"
"ITAI","SAO PAULO"
"ITAITINGA","CEARA"
"ITAITUBA","PARA"
"ITAJAI","SANTA CATARINA"
"ITAJA","GOIAS"
"ITAJA","RIO GRANDE DO NORTE"
"ITAJOBI","SAO PAULO"
"ITAJUBA","MINAS GERAIS"
"ITAJU DO COLONIA","BAHIA"
"ITAJUIPE","BAHIA"
"ITAJU","SAO PAULO"
"ITALVA","RIO DE JANEIRO"
"ITAMARAJU","BAHIA"
"ITAMARANDIBA","MINAS GERAIS"
"ITAMARATI DE MINAS","MINAS GERAIS"
"ITAMARATI","AMAZONAS"
"ITAMARI","BAHIA"
"ITAMBACURI","MINAS GERAIS"
"ITAMBARACA","PARANA"
"ITAMBE DO MATO DENTRO","MINAS GERAIS"
"ITAMBE","BAHIA"
"ITAMBE","PARANA"
"ITAMBE","PERNAMBUCO"
"ITAMOGI","MINAS GERAIS"
"ITAMONTE","MINAS GERAIS"
"ITANAGRA","BAHIA"
"ITANHAEM","SAO PAULO"
"ITANHANDU","MINAS GERAIS"
"ITANHANGA","MATO GROSSO"
"ITANHEM","BAHIA"
"ITANHOMI","MINAS GERAIS"
"ITAOBIM","MINAS GERAIS"
"ITAOCARA","RIO DE JANEIRO"
"ITAOCA","SAO PAULO"
"ITAPACI","GOIAS"
"ITAPAGE","CEARA"
"ITAPAGIPE","MINAS GERAIS"
"ITAPARICA","BAHIA"
"ITAPEBI","BAHIA"
"ITAPECERICA DA SERRA","SAO PAULO"
"ITAPECERICA","MINAS GERAIS"
"ITAPECURU MIRIM","MARANHAO"
"ITAPEJARA D""OESTE","PARANA"
"ITAPEMA","SANTA CATARINA"
"ITAPEMIRIM","ESPIRITO SANTO"
"ITAPERUCU","PARANA"
"ITAPERUNA","RIO DE JANEIRO"
"ITAPE","BAHIA"
"ITAPETIM","PERNAMBUCO"
"ITAPETINGA","BAHIA"
"ITAPETININGA","SAO PAULO"
"ITAPEVA","MINAS GERAIS"
"ITAPEVA","SAO PAULO"
"ITAPEVI","SAO PAULO"
"ITAPICURU","BAHIA"
"ITAPIPOCA","CEARA"
"ITAPIRANGA","AMAZONAS"
"ITAPIRANGA","SANTA CATARINA"
"ITAPIRAPUA PAULISTA","SAO PAULO"
"ITAPIRAPUA","GOIAS"
"ITAPIRA","SAO PAULO"
"ITAPIRATINS","TOCANTINS"
"ITAPISSUMA","PERNAMBUCO"
"ITAPITANGA","BAHIA"
"ITAPIUNA","CEARA"
"ITAPOA","SANTA CATARINA"
"ITAPOLIS","SAO PAULO"
"ITAPORA DO TOCANTINS","TOCANTINS"
"ITAPORANGA D""AJUDA","SERGIPE"
"ITAPORANGA","PARAIBA"
"ITAPORANGA","SAO PAULO"
"ITAPORA","MATO GROSSO DO SUL"
"ITAPOROROCA","PARAIBA"
"ITAPUA DO OESTE","RONDONIA"
"ITAPUCA","RIO GRANDE DO SUL"
"ITAPUI","SAO PAULO"
"ITAPURANGA","GOIAS"
"ITAPURA","SAO PAULO"
"ITAQUAQUECETUBA","SAO PAULO"
"ITAQUARA","BAHIA"
"ITAQUIRAI","MATO GROSSO DO SUL"
"ITAQUI","RIO GRANDE DO SUL"
"ITAQUITINGA","PERNAMBUCO"
"ITARANA","ESPIRITO SANTO"
"ITARANTIM","BAHIA"
"ITARARE","SAO PAULO"
"ITAREMA","CEARA"
"ITARIRI","SAO PAULO"
"ITARUMA","GOIAS"
"ITA","SANTA CATARINA"
"ITATIAIA","RIO DE JANEIRO"
"ITATIAIUCU","MINAS GERAIS"
"ITATIBA DO SUL","RIO GRANDE DO SUL"
"ITATIBA","SAO PAULO"
"ITATIM","BAHIA"
"ITATINGA","SAO PAULO"
"ITATIRA","CEARA"
"ITATI","RIO GRANDE DO SUL"
"ITATUBA","PARAIBA"
"ITAUBAL","AMAPA"
"ITAUBA","MATO GROSSO"
"ITAUCU","GOIAS"
"ITAU DE MINAS","MINAS GERAIS"
"ITAUEIRA","PIAUI"
"ITAUNA DO SUL","PARANA"
"ITAUNA","MINAS GERAIS"
"ITAU","RIO GRANDE DO NORTE"
"ITAVERAVA","MINAS GERAIS"
"ITINGA DO MARANHAO","MARANHAO"
"ITINGA","MINAS GERAIS"
"ITIQUIRA","MATO GROSSO"
"ITIRAPINA","SAO PAULO"
"ITIRAPUA","SAO PAULO"
"ITIRUCU","BAHIA"
"ITIUBA","BAHIA"
"ITOBI","SAO PAULO"
"ITORORO","BAHIA"
"ITUACU","BAHIA"
"ITUBERA","BAHIA"
"ITUETA","MINAS GERAIS"
"ITUIUTABA","MINAS GERAIS"
"ITUMBIARA","GOIAS"
"ITUMIRIM","MINAS GERAIS"
"ITUPEVA","SAO PAULO"
"ITUPIRANGA","PARA"
"ITUPORANGA","SANTA CATARINA"
"ITURAMA","MINAS GERAIS"
"ITU","SAO PAULO"
"ITUTINGA","MINAS GERAIS"
"ITUVERAVA","SAO PAULO"
"IUIU","BAHIA"
"IUNA","ESPIRITO SANTO"
"IVAIPORA","PARANA"
"IVAI","PARANA"
"IVATE","PARANA"
"IVATUBA","PARANA"
"IVINHEMA","MATO GROSSO DO SUL"
"IVOLANDIA","GOIAS"
"IVORA","RIO GRANDE DO SUL"
"IVOTI","RIO GRANDE DO SUL"
"JABOATAO DOS GUARARAPES","PERNAMBUCO"
"JABORANDI","BAHIA"
"JABORANDI","SAO PAULO"
"JABORA","SANTA CATARINA"
"JABOTICABAL","SAO PAULO"
"JABOTICABA","RIO GRANDE DO SUL"
"JABOTICATUBAS","MINAS GERAIS"
"JABOTI","PARANA"
"JACANA","RIO GRANDE DO NORTE"
"JACARACI","BAHIA"
"JACARAU","PARAIBA"
"JACAREACANGA","PARA"
"JACARE DOS HOMENS","ALAGOAS"
"JACAREI","SAO PAULO"
"JACAREZINHO","PARANA"
"JACIARA","MATO GROSSO"
"JACINTO MACHADO","SANTA CATARINA"
"JACINTO","MINAS GERAIS"
"JACI","SAO PAULO"
"JACOBINA DO PIAUI","PIAUI"
"JACOBINA","BAHIA"
"JACUIPE","ALAGOAS"
"JACUI","MINAS GERAIS"
"JACUIZINHO","RIO GRANDE DO SUL"
"JACUNDA","PARA"
"JACUPIRANGA","SAO PAULO"
"JACUTINGA","MINAS GERAIS"
"JACUTINGA","RIO GRANDE DO SUL"
"JAGUAPITA","PARANA"
"JAGUAQUARA","BAHIA"
"JAGUARACU","MINAS GERAIS"
"JAGUARAO","RIO GRANDE DO SUL"
"JAGUARARI","BAHIA"
"JAGUARE","ESPIRITO SANTO"
"JAGUARETAMA","CEARA"
"JAGUARIAIVA","PARANA"
"JAGUARIBARA","CEARA"
"JAGUARIBE","CEARA"
"JAGUARIPE","BAHIA"
"JAGUARI","RIO GRANDE DO SUL"
"JAGUARIUNA","SAO PAULO"
"JAGUARUANA","CEARA"
"JAGUARUNA","SANTA CATARINA"
"JAIBA","MINAS GERAIS"
"JAICOS","PIAUI"
"JALES","SAO PAULO"
"JAMBEIRO","SAO PAULO"
"JAMPRUCA","MINAS GERAIS"
"JANAUBA","MINAS GERAIS"
"JANDAIA DO SUL","PARANA"
"JANDAIA","GOIAS"
"JANDAIRA","BAHIA"
"JANDAIRA","RIO GRANDE DO NORTE"
"JANDIRA","SAO PAULO"
"JANDUIS","RIO GRANDE DO NORTE"
"JANGADA","MATO GROSSO"
"JANIOPOLIS","PARANA"
"JANUARIA","MINAS GERAIS"
"JANUARIO CICCO","RIO GRANDE DO NORTE"
"JAPARAIBA","MINAS GERAIS"
"JAPARATINGA","ALAGOAS"
"JAPARATUBA","SERGIPE"
"JAPERI","RIO DE JANEIRO"
"JAPIRA","PARANA"
"JAPI","RIO GRANDE DO NORTE"
"JAPOATA","SERGIPE"
"JAPONVAR","MINAS GERAIS"
"JAPORA","MATO GROSSO DO SUL"
"JAPURA","AMAZONAS"
"JAPURA","PARANA"
"JAQUEIRA","PERNAMBUCO"
"JAQUIRANA","RIO GRANDE DO SUL"
"JARAGUA DO SUL","SANTA CATARINA"
"JARAGUARI","MATO GROSSO DO SUL"
"JARAGUA","GOIAS"
"JARAMATAIA","ALAGOAS"
"JARDIM ALEGRE","PARANA"
"JARDIM DE ANGICOS","RIO GRANDE DO NORTE"
"JARDIM DE PIRANHAS","RIO GRANDE DO NORTE"
"JARDIM DO MULATO","PIAUI"
"JARDIM DO SERIDO","RIO GRANDE DO NORTE"
"JARDIM OLINDA","PARANA"
"JARDIM","CEARA"
"JARDIM","MATO GROSSO DO SUL"
"JARDINOPOLIS","SANTA CATARINA"
"JARDINOPOLIS","SAO PAULO"
"JARINU","SAO PAULO"
"JARI","RIO GRANDE DO SUL"
"JARU","RONDONIA"
"JATAI","GOIAS"
"JATAIZINHO","PARANA"
"JATAUBA","PERNAMBUCO"
"JATEI","MATO GROSSO DO SUL"
"JATI","CEARA"
"JATOBA DO PIAUI","PIAUI"
"JATOBA","MARANHAO"
"JATOBA","PERNAMBUCO"
"JAU DO TOCANTINS","TOCANTINS"
"JAUPACI","GOIAS"
"JAURU","MATO GROSSO"
"JAU","SAO PAULO"
"JECEABA","MINAS GERAIS"
"JENIPAPO DE MINAS","MINAS GERAIS"
"JENIPAPO DOS VIEIRAS","MARANHAO"
"JEQUERI","MINAS GERAIS"
"JEQUIA DA PRAIA","ALAGOAS"
"JEQUIE","BAHIA"
"JEQUITAI","MINAS GERAIS"
"JEQUITIBA","MINAS GERAIS"
"JEQUITINHONHA","MINAS GERAIS"
"JEREMOABO","BAHIA"
"JERICO","PARAIBA"
"JERIQUARA","SAO PAULO"
"JERONIMO MONTEIRO","ESPIRITO SANTO"
"JERUMENHA","PIAUI"
"JESUANIA","MINAS GERAIS"
"JESUITAS","PARANA"
"JESUPOLIS","GOIAS"
"JIJOCA DE JERICOACOARA","CEARA"
"JI-PARANA","RONDONIA"
"JIQUIRICA","BAHIA"
"JITAUNA","BAHIA"
"JOACABA","SANTA CATARINA"
"JOAIMA","MINAS GERAIS"
"JOANESIA","MINAS GERAIS"
"JOANOPOLIS","SAO PAULO"
"JOAO ALFREDO","PERNAMBUCO"
"JOAO CAMARA","RIO GRANDE DO NORTE"
"JOAO COSTA","PIAUI"
"JOAO DIAS","RIO GRANDE DO NORTE"
"JOAO DOURADO","BAHIA"
"JOAO LISBOA","MARANHAO"
"JOAO MONLEVADE","MINAS GERAIS"
"JOAO NEIVA","ESPIRITO SANTO"
"JOAO PESSOA","PARAIBA"
"JOAO PINHEIRO","MINAS GERAIS"
"JOAO RAMALHO","SAO PAULO"
"JOAQUIM FELICIO","MINAS GERAIS"
"JOAQUIM GOMES","ALAGOAS"
"JOAQUIM NABUCO","PERNAMBUCO"
"JOAQUIM PIRES","PIAUI"
"JOAQUIM TAVORA","PARANA"
"JOCA MARQUES","PIAUI"
"JOIA","RIO GRANDE DO SUL"
"JOINVILLE","SANTA CATARINA"
"JORDANIA","MINAS GERAIS"
"JORDAO","ACRE"
"JOSE BOITEUX","SANTA CATARINA"
"JOSE BONIFACIO","SAO PAULO"
"JOSE DA PENHA","RIO GRANDE DO NORTE"
"JOSE DE FREITAS","PIAUI"
"JOSE GONCALVES DE MINAS","MINAS GERAIS"
"JOSELANDIA","MARANHAO"
"JOSENOPOLIS","MINAS GERAIS"
"JOSE RAYDAN","MINAS GERAIS"
"JOVIANIA","GOIAS"
"JUARA","MATO GROSSO"
"JUAREZ TAVORA","PARAIBA"
"JUARINA","TOCANTINS"
"JUATUBA","MINAS GERAIS"
"JUAZEIRINHO","PARAIBA"
"JUAZEIRO DO NORTE","CEARA"
"JUAZEIRO DO PIAUI","PIAUI"
"JUAZEIRO","BAHIA"
"JUCAS","CEARA"
"JUCATI","PERNAMBUCO"
"JUCURUCU","BAHIA"
"JUCURUTU","RIO GRANDE DO NORTE"
"JUINA","MATO GROSSO"
"JUIZ DE FORA","MINAS GERAIS"
"JULIO BORGES","PIAUI"
"JULIO DE CASTILHOS","RIO GRANDE DO SUL"
"JULIO MESQUITA","SAO PAULO"
"JUMIRIM","SAO PAULO"
"JUNCO DO MARANHAO","MARANHAO"
"JUNCO DO SERIDO","PARAIBA"
"JUNDIAI DO SUL","PARANA"
"JUNDIAI","SAO PAULO"
"JUNDIA","ALAGOAS"
"JUNDIA","RIO GRANDE DO NORTE"
"JUNQUEIROPOLIS","SAO PAULO"
"JUNQUEIRO","ALAGOAS"
"JUPIA","SANTA CATARINA"
"JUPI","PERNAMBUCO"
"JUQUIA","SAO PAULO"
"JUQUITIBA","SAO PAULO"
"JURAMENTO","MINAS GERAIS"
"JURANDA","PARANA"
"JUREMA","PERNAMBUCO"
"JUREMA","PIAUI"
"JURIPIRANGA","PARAIBA"
"JURUAIA","MINAS GERAIS"
"JURUA","AMAZONAS"
"JURUENA","MATO GROSSO"
"JURU","PARAIBA"
"JURUTI","PARA"
"JUSCIMEIRA","MATO GROSSO"
"JUSSARA","BAHIA"
"JUSSARA","GOIAS"
"JUSSARA","PARANA"
"JUSSARI","BAHIA"
"JUSSIAPE","BAHIA"
"JUTAI","AMAZONAS"
"JUTI","MATO GROSSO DO SUL"
"JUVENILIA","MINAS GERAIS"
"KALORE","PARANA"
"LABREA","AMAZONAS"
"LACERDOPOLIS","SANTA CATARINA"
"LADAINHA","MINAS GERAIS"
"LADARIO","MATO GROSSO DO SUL"
"LAFAIETE COUTINHO","BAHIA"
"LAGAMAR","MINAS GERAIS"
"LAGARTO","SERGIPE"
"LAGES","SANTA CATARINA"
"LAGOA ALEGRE","PIAUI"
"LAGOA BONITA DO SUL","RIO GRANDE DO SUL"
"LAGOA DA CANOA","ALAGOAS"
"LAGOA DA CONFUSAO","TOCANTINS"
"LAGOA D""ANTA","RIO GRANDE DO NORTE"
"LAGOA DA PRATA","MINAS GERAIS"
"LAGOA DE DENTRO","PARAIBA"
"LAGOA DE PEDRAS","RIO GRANDE DO NORTE"
"LAGOA DE SAO FRANCISCO","PIAUI"
"LAGOA DE VELHOS","RIO GRANDE DO NORTE"
"LAGOA DO BARRO DO PIAUI","PIAUI"
"LAGOA DO CARRO","PERNAMBUCO"
"LAGOA DO ITAENGA","PERNAMBUCO"
"LAGOA DO MATO","MARANHAO"
"LAGOA DO OURO","PERNAMBUCO"
"LAGOA DO PIAUI","PIAUI"
"LAGOA DOS GATOS","PERNAMBUCO"
"LAGOA DO SITIO","PIAUI"
"LAGOA DOS PATOS","MINAS GERAIS"
"LAGOA DOS TRES CANTOS","RIO GRANDE DO SUL"
"LAGOA DO TOCANTINS","TOCANTINS"
"LAGOA DOURADA","MINAS GERAIS"
"LAGOA FORMOSA","MINAS GERAIS"
"LAGOA GRANDE DO MARANHAO","MARANHAO"
"LAGOA GRANDE","MINAS GERAIS"
"LAGOA GRANDE","PERNAMBUCO"
"LAGOA NOVA","RIO GRANDE DO NORTE"
"LAGOAO","RIO GRANDE DO SUL"
"LAGOA REAL","BAHIA"
"LAGOA SALGADA","RIO GRANDE DO NORTE"
"LAGOA SANTA","GOIAS"
"LAGOA SANTA","MINAS GERAIS"
"LAGOA SECA","PARAIBA"
"LAGOA","PARAIBA"
"LAGOA VERMELHA","RIO GRANDE DO SUL"
"LAGO DA PEDRA","MARANHAO"
"LAGO DO JUNCO","MARANHAO"
"LAGO DOS RODRIGUES","MARANHAO"
"LAGOINHA DO PIAUI","PIAUI"
"LAGOINHA","SAO PAULO"
"LAGO VERDE","MARANHAO"
"LAGUNA CARAPA","MATO GROSSO DO SUL"
"LAGUNA","SANTA CATARINA"
"LAJEADO DO BUGRE","RIO GRANDE DO SUL"
"LAJEADO GRANDE","SANTA CATARINA"
"LAJEADO NOVO","MARANHAO"
"LAJEADO","RIO GRANDE DO SUL"
"LAJEADO","TOCANTINS"
"LAJEDAO","BAHIA"
"LAJEDINHO","BAHIA"
"LAJEDO DO TABOCAL","BAHIA"
"LAJE DO MURIAE","RIO DE JANEIRO"
"LAJEDO","PERNAMBUCO"
"LAJE","BAHIA"
"LAJES PINTADAS","RIO GRANDE DO NORTE"
"LAJES","RIO GRANDE DO NORTE"
"LAJINHA","MINAS GERAIS"
"LAMARAO","BAHIA"
"LAMBARI D""OESTE","MATO GROSSO"
"LAMBARI","MINAS GERAIS"
"LAMIM","MINAS GERAIS"
"LANDRI SALES","PIAUI"
"LAPAO","BAHIA"
"LAPA","PARANA"
"LARANJA DA TERRA","ESPIRITO SANTO"
"LARANJAL DO JARI","AMAPA"
"LARANJAL PAULISTA","SAO PAULO"
"LARANJAL","MINAS GERAIS"
"LARANJAL","PARANA"
"LARANJEIRAS DO SUL","PARANA"
"LARANJEIRAS","SERGIPE"
"LASSANCE","MINAS GERAIS"
"LASTRO","PARAIBA"
"LAURENTINO","SANTA CATARINA"
"LAURO DE FREITAS","BAHIA"
"LAURO MULLER","SANTA CATARINA"
"LAVANDEIRA","TOCANTINS"
"LAVINIA","SAO PAULO"
"LAVRAS DA MANGABEIRA","CEARA"
"LAVRAS DO SUL","RIO GRANDE DO SUL"
"LAVRAS","MINAS GERAIS"
"LAVRINHAS","SAO PAULO"
"LEANDRO FERREIRA","MINAS GERAIS"
"LEBON REGIS","SANTA CATARINA"
"LEME DO PRADO","MINAS GERAIS"
"LEME","SAO PAULO"
"LENCOIS PAULISTA","SAO PAULO"
"LENCOIS","BAHIA"
"LEOBERTO LEAL","SANTA CATARINA"
"LEOPOLDINA","MINAS GERAIS"
"LEOPOLDO DE BULHOES","GOIAS"
"LEOPOLIS","PARANA"
"LIBERATO SALZANO","RIO GRANDE DO SUL"
"LIBERDADE","MINAS GERAIS"
